Date,JPM,V,spread,spread_mean,spread_std,zscore,pair_position,JPM_ret,V_ret,pair_position_lagged,w1,w2,strategy_gross_return,turnover,transaction_cost,strategy_net_return,benchmark_return,cum_strategy,cum_benchmark
2021-02-09,122.91786193847656,198.7555694580078,10.11858791109539,9.342385106302345,2.3723973208710225,0.32718077952813673,0.0,-0.0039960486479465596,-0.0017881093829723582,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.002892079015459459,1.2038241676381176,1.07668558774106
2021-02-10,122.9883041381836,198.6785430908203,10.255107118698092,9.417623707938471,2.3764904820616612,0.35240343568853016,0.0,0.0005730835095576481,-0.00038754318884015593,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9.277016035874608e-05,1.2038241676381176,1.0767854720356906
2021-02-11,122.64485931396484,203.0546112060547,6.157655738536263,9.302492599716988,2.4788814322177815,-1.268651586279031,0.0,-0.002792499877328769,0.02202587177838322,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.009616685950527226,1.2038241676381176,1.0871405797563483
2021-02-12,124.38850402832031,202.37991333007812,8.480089489762392,8.958192064531373,2.029912658200024,-0.2355286434801222,0.0,0.014217022418296477,-0.003322740970860716,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.00544714072371788,1.2038241676381176,1.0930623874807452
2021-02-16,127.3826675415039,200.39427185058594,13.177633968570419,8.949021753417105,2.009285013767424,2.1045357857045057,-1.0,0.024071062969789336,-0.009811455330814622,0.0,0.0,-0.0,0.0,1.0,0.0005,-0.0005,0.007129803819487357,1.2032222555542986,1.1008557078659433
2021-02-17,127.77893829345703,200.01837158203125,13.896370467256887,9.005097822245682,2.133488779049773,2.292617000399557,-1.0,0.0031108686888192683,-0.0018758034602653906,-1.0,-0.5382568170927516,0.4617431829072485,-0.0025405857390887326,0.0,0.0,-0.0025405857390887326,0.0006175326142769388,1.200165366250883,1.1015355221691636
2021-02-18,128.21044921875,201.7919158935547,12.806447813959878,9.277390755405358,2.2565308398915933,1.5639303466041083,-1.0,0.0033770113530131596,0.008866907062064833,-1.0,-0.5382568170927516,0.4617431829072485,0.002276534507221625,0.0,0.0,0.002276534507221625,0.006121959207538996,1.2028975841215255,1.1082790777015383
2021-02-19,130.35035705566406,197.33872985839844,18.76651775315314,9.861966214721495,3.035796710814018,2.9331843949603527,-1.0,0.016690588403313278,-0.022068208309718895,-1.0,-0.5382568170927516,0.4617431829072485,-0.019173667735362387,0.0,0.0,-0.019173667735362387,-0.0026888099532028087,1.1798336255239092,1.1052991258864882
2021-02-22,131.57443237304688,200.79913330078125,17.022088726718792,10.276325112422896,3.4156636575889756,1.974949611712515,-1.0,0.009390655653210844,0.017535348711658516,-1.0,-0.5382568170927516,0.4617431829072485,0.003042243305198398,0.0,0.0,0.003042243305198398,0.01346300218243468,1.1834229664724074,1.1201797704305412
2021-02-23,132.63119506835938,204.45225524902344,14.945023661074188,10.617426333524243,3.528092813958457,1.226610963982679,-1.0,0.008031672082888575,0.01819291691249525,-1.0,-0.5382568170927516,0.4617431829072485,0.004077353110274354,0.0,0.0,0.004077353110274354,0.013112294497691912,1.1882481997855239,1.1348678974707835
2021-02-24,134.96482849121094,211.5080108642578,11.225882735073228,10.838866919065925,3.412791148321011,0.11340155291884839,0.0,0.017594906097685215,0.034510529642436394,-1.0,-0.5382568170927516,0.4617431829072485,0.006464423647727636,1.0,0.0005,0.005964423647727635,0.026052717870060804,1.1953354154476945,1.1644342906233789
2021-02-25,133.13314819335938,206.0330810546875,14.090866624624127,11.076743795354224,3.467692049176584,0.8692014130798082,0.0,-0.013571537994958804,-0.025885212513695466,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.019728375254327135,1.1953354154476945,1.1414618939789547
2021-02-26,129.60183715820312,204.72218322753906,11.684108249001426,11.229370449581769,3.4212726075241937,0.13291481024329382,0.0,-0.02652465657934766,-0.006362559936675782,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.01644360825801172,1.1953354154476945,1.1226921417529168
2021-03-01,132.5343017578125,208.80909729003906,11.110616867078008,11.211569266770136,3.42089928564646,-0.029510485770717573,0.0,0.022626720916230303,0.01996322039003262,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.021294970653131462,1.1953354154476945,1.1465998379640463
