Date,JPM,MA,rolling_intercept,rolling_beta,spread,spread_mean,spread_std,zscore,pair_position,JPM_ret,MA_ret,beta_used,pair_position_lagged,w1,w2,strategy_gross_return,turnover,transaction_cost,strategy_net_return,benchmark_return,cum_strategy,cum_benchmark
2022-03-18,126.32240295410156,341.9206848144531,7.298683990868447,0.3634098139460787,-5.233613489503114,-7.325508463569891,5.398836580520862,0.3874714381269452,0.0,-0.00035657283395584827,0.010535527890737972,0.3634098139460787,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.005089477528391062,1.4921361357571696,1.5676793022422364
2022-03-21,125.9166488647461,337.51593017578125,4.7451298084438776,0.3700223824696631,-3.716929548804842,-7.310914934461594,5.408286449394631,0.6645331047616828,0.0,-0.0032120517015726824,-0.01288238715672363,0.3700223824696631,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.008047219429148156,1.4921361357571696,1.5550638429025594
2022-03-22,128.5945587158203,341.373779296875,3.2980065254973,0.373641856176217,-2.2549803560515898,-7.2630792729922335,5.447620400353461,0.919318628848607,0.0,0.021267321479867984,0.011430124554667742,0.373641856176217,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.016348723017267863,1.4921361357571696,1.5804871509443414
2022-03-23,126.03388214111328,334.1952819824219,2.7572842611322983,0.3747765441969315,-1.9719549883101308,-7.299371378379669,5.407128091137553,0.985258033520851,0.0,-0.01991279102536403,-0.02102826212733333,0.3747765441969315,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.02047052657634868,1.4921361357571696,1.5481337467173577
2022-03-24,126.8543930053711,341.1979675292969,2.035350535726039,0.37639151898152323,-3.604978802115454,-7.425101797015884,5.269635110096775,0.7249312172641635,0.0,0.006510240344252294,0.020953873152653735,0.37639151898152323,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.013732056748453014,1.4921361357571696,1.5693928071814758
2022-03-25,127.96343231201172,340.8757019042969,1.3248483939602878,0.377877745634066,-2.170757858974156,-7.478853957430041,5.2050028560159864,1.0198065678908788,0.0,0.008742616478356169,-0.0009445121474010998,0.377877745634066,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0038990521654775345,1.4921361357571696,1.5755119516048017
2022-03-28,127.01668548583984,342.3114013671875,0.9604603031970669,0.3784504847321965,-3.491690594126794,-7.513920964327732,5.1733298080018155,0.7774935137480657,0.0,-0.007398573241325979,0.004211797599154465,0.3784504847321965,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0015933878210857566,1.4921361357571696,1.5730015500491397
2022-03-29,127.29617309570312,358.97332763671875,0.42991002773575815,0.37942466973454053,-9.337073214103668,-7.716531269434045,5.119681070177161,-0.3165318156456075,0.0,0.0022004007488798383,0.04867476281240912,0.37942466973454053,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.02543758178064448,1.4921361357571696,1.6130149056195953
2022-03-30,126.71910858154297,353.78717041015625,1.2507835574966606,0.37623885410638996,-7.6401545686130135,-7.950659683541114,4.941279290962224,0.06283901326849219,0.0,-0.004533243224258632,-0.014447193780956602,0.37623885410638996,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.009490218502607617,1.4921361357571696,1.5977070417173025
2022-03-31,122.91413879394531,349.0406188964844,2.697744726567528,0.3713944395605087,-9.415350971535133,-8.256993120434192,4.72601261742654,-0.24510257269090893,0.0,-0.030026803614619624,-0.013416403732699145,0.3713944395605087,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.021721603673659384,1.4921361357571696,1.5630022825705046
